"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D5";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"1050nm";;;
2;"R15,R17,R21,R16,R19,R20,R22,R18";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";8;"47";;;
3;"U6";"Texas_Instruments-TLC59108FIPWR-Level_A";1;"TLC59108FIPWR";;;
4;"D1";"D_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"0090-3111-185";;;
5;"C12,C13,C17,C15";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"100n";;;
6;"R6,R7";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"100";;;
7;"JP2,JP1";"SolderJumper-3_P2.0mm_Open_TrianglePad1.0x1.5mm";2;"SolderJumper_3_Open";;;
8;"R9,R8";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"10k";;;
9;"J3,J5,J4";"PinSocket_1x04_P2.54mm_Vertical";3;"Conn_01x04";;;
10;"C5,C7";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"100p";;;
11;"U5";"Texas_Instruments-TLC59208FIPWR-Level_A";1;"TLC59208FIPWR";;;
12;"D10";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"1650nm";;;
13;"R11,R12,R13";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"0";;;
14;"R5,R10,R14";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"1k";;;
15;"C22,C6,C9,C21,C8,C1,C20";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";7;"0.1u";;;
16;"U1";"SOIC127P599X175-8N";1;"OPA2376AID";;;
17;"C10,C14";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"10u";;;
18;"D9";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"1550nm";;;
19;"U2";"Nuvoton-NAU7802SGI-0-0-0";1;"NAU7802SGI";;;
20;"C4";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"47n";;;
21;"A1";"Arduino_UNO_R3";1;"Arduino_UNO_R3";;;
22;"C16,C18,C11";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";3;"22u";;;
23;"R4,R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"301";;;
24;"R2,R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"240k";;;
25;"FB1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"FerriteBead";;;
26;"D6";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"1200nm";;;
27;"SW2";"SW_PUSH_6mm";1;"TRIGGER";;;
28;"D7";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"1300nm";;;
29;"U4";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
30;"J1";"PinHeader_1x08_P2.54mm_Vertical";1;"Conn_01x08";;;
31;"C19";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"330u";;;
32;"D4";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"940nm";;;
33;"J2";"JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal";1;"Qwiic";;;
34;"D11";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"1720nm";;;
35;"U3";"SOIC-8_3.9x4.9mm_P1.27mm";1;"LM285D-2.5";;;
36;"X1";"Oscillator_SMD_ECS_2520MV-xxx-xx-4Pin_2.5x2.0mm";1;"4.9152 MHz";;;
37;"D8";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"1460nm";;;
38;"R23,R24";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"49.9";;;
39;"C2,C3";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"51p";;;
40;"D3";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"LED RED";;;
41;"D2";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"LED BLUE";;;
42;"SW1";"SW_PUSH_6mm";1;"MCU_RESET";;;
